Index;GOÄ;Schlüssel;GOÄZiffer;Beschreibung;Punktzahl;Einfachfaktor;Einfachsatz;Regelhöchstfaktor;Regelhöchstsatz;Höchstfaktor;Höchstsatz;Ausschlussziffer;go;ziffer;analog
1664;GOÄ 3236:;3236;z 3236; Unblutige Erweiterung des Mastdarmschließmuskels;111;1;6,47;2,3;14,88;3,5;22,64;Ausschlussziffern: GOÄ 685, GOÄ 686, GOÄ 687, GOÄ 688, GOÄ 689, GOÄ 690, GOÄ 705, GOÄ 3237;GOAE;z 3236;
1665;GOÄ 3237:;3237;z 3237; Blutige Erweiterung des Mastdarmschließmuskels, als selbständige Leistung;370;1;21,57;2,3;49,6;3,5;75,48;Ausschlussziffern: GOÄ 3236;GOAE;z 3237;
1666;GOÄ 3238:;3238;z 3238; Entfernung von Fremdkörpern aus dem Mastdarm Eine neben der Leistung nach Nummer 3238 erforderliche Rektoskopie ist nach Nummer 690 zusätzlich berechnungsfähig.;185;1;10,78;2,3;24,8;3,5;37,74;Ausschlussziffern:;GOAE;z 3238;
1667;GOÄ 3239:;3239;z 3239; Muskelplastik bei Insuffizienz des Mastdarmschließmuskels;1800;1;104,92;2,3;241,31;3,5;367,21;Ausschlussziffern:;GOAE;z 3239;
1668;GOÄ 3240:;3240;z 3240; Operation der Hämorrhoidalknoten;554;1;32,29;2,3;74,27;3,5;113,02;Ausschlussziffern: GOÄ 3224, GOÄ 3226, GOÄ 3241;GOAE;z 3240;
1669;GOÄ 3241:;3241;z 3241; Hohe intraanale Exzision von Hämorrhoidalknoten (z.B. nach Miligan/Morgan) – auch mit Analplastik –;924;1;53,86;2,3;123,87;3,5;188,5;Ausschlussziffern: GOÄ 3240;GOAE;z 3241;
1670;GOÄ 3280:;3280;z 3280; Operation einer Diaphragmahernie;2770;1;161,46;2,3;371,35;3,5;565,1;Ausschlussziffern:;GOAE;z 3280;
1671;GOÄ 3281:;3281;z 3281; Operation der Zwerchfellrelaxation;2750;1;160,29;2,3;368,67;3,5;561,02;Ausschlussziffern:;GOAE;z 3281;
1672;GOÄ 3282:;3282;z 3282; Zurückbringen oder Versuch des Zurückbringens eines eingeklemmten Bruches;222;1;12,94;2,3;29,76;3,5;45,29;Ausschlussziffern: GOÄ 3283, GOÄ 3284, GOÄ 3285, GOÄ 3286;GOAE;z 3282;
1673;GOÄ 3283:;3283;z 3283; Operation eines Nabel- oder Mittellinien- oder Bauchnarbenbruches;1110;1;64,7;2,3;148,81;3,5;226,45;Ausschlussziffern: GOÄ 3282, GOÄ 3284;GOAE;z 3283;
1674;GOÄ 3284:;3284;z 3284; Operation eines Nabel- oder Mittellinien oder Bauchnarbenbruches mit Muskel- und Faszienverschiebeplastik – auch mit Darmresektion –;2500;1;145,72;2,3;335,15;3,5;510,01;Ausschlussziffern: GOÄ 3282, GOÄ 3283;GOAE;z 3284;
1675;GOÄ 3285:;3285;z 3285; Operation eines Leisten- oder Schenkelbruches;1290;1;75,19;2,3;172,94;3,5;263,17;Ausschlussziffern: GOÄ 3282, GOÄ 3286;GOAE;z 3285;
1676;GOÄ 3286:;3286;z 3286; Operation eines eingeklemmten Leisten- oder Schenkelbruches – gegebenenfalls mit Darmresektion –;2000;1;116,57;2,3;268,12;3,5;408,01;Ausschlussziffern: GOÄ 3282, GOÄ 3285;GOAE;z 3286;
1677;GOÄ 3287:;3287;z 3287; Operation der Omphalozele (Nabelschnurhernie) oder der Gastroschisis beim Neugeborenen oder Kleinkind;2500;1;145,72;2,3;335,15;3,5;510,01;Ausschlussziffern:;GOAE;z 3287;
1678;GOÄ 3288:;3288;z 3288; Operative Beseitigung eines Ductus omphaloentericus persistens oder einer Urachusfistel;2250;1;131,15;2,3;301,64;3,5;459,01;Ausschlussziffern:;GOAE;z 3288;
1679;GOÄ 3300:;3300;z 3300; Arthroskopie – gegebenenfalls mit Probeexzision –;500;1;29,14;2,3;67,03;3,5;102;Ausschlussziffern: GOÄ 300, GOÄ 301, GOÄ 302, GOÄ 2189, GOÄ 2190, GOÄ 2191, GOÄ 2192, GOÄ 2193, GOÄ 2195, GOÄ 2196;GOAE;z 3300;
1680;GOÄ 3301:;3301;z 3301; Modellierendes Redressement einer schweren Hand- oder Fußverbildung;473;1;27,57;2,3;63,41;3,5;96,49;Ausschlussziffern:;GOAE;z 3301;
1681;GOÄ 3302:;3302;z 3302; Stellungsänderung oder zweites und folgendes Redressement im Verlaufe der Behandlung nach Nummer 3301;227;1;13,23;2,3;30,43;3,5;46,31;Ausschlussziffern:;GOAE;z 3302;
1682;GOÄ 3305:;3305;z 3305; Chiropraktische Wirbelsäulenmobilisierung;37;1;2,16;2,3;4,96;3,5;7,55;Ausschlussziffern: GOÄ 3306;GOAE;z 3305;
1683;GOÄ 3306:;3306;z 3306; Chirotherapeutischer Eingriff an der Wirbelsäule;148;1;8,63;2,3;19,84;3,5;30,19;Ausschlussziffern:;GOAE;z 3306;
1684;GOÄ 3310:;3310;z 3310; Abdrücke oder Modellherstellung durch Gips oder andere Werkstoffe für eine Hand oder für einen Fuß mit oder ohne Positiv;76;1;4,43;2,3;10,19;3,5;15,5;Ausschlussziffern:;GOAE;z 3310;
1685;GOÄ 3311:;3311;z 3311; Abdrücke oder Modellherstellung durch Gips oder andere Werkstoffe für einen Unterarm einschließlich Hand oder für einen Unterschenkel einschließlich Fuß oder für Ober- oder Unterarm oder Unterschenkelstumpf;152;1;8,86;2,3;20,38;3,5;31,01;Ausschlussziffern:;GOAE;z 3311;
1686;GOÄ 3312:;3312;z 3312; Abdrücke oder Modellherstellung durch Gips oder andere Werkstoffe für einen Oberschenkelstumpf mit Tubersitzausarbeitung;189;1;11,02;2,3;25,34;3,5;38,56;Ausschlussziffern:;GOAE;z 3312;
1687;GOÄ 3313:;3313;z 3313; Abdrücke oder Modellherstellung durch Gips oder andere Werkstoffe für den ganzen Arm oder für das ganze Bein;303;1;17,66;2,3;40,62;3,5;61,81;Ausschlussziffern:;GOAE;z 3313;
1688;GOÄ 3314:;3314;z 3314; Abdrücke oder Modellherstellung durch Gips oder andere Werkstoffe für den Arm mit Schulter;379;1;22,09;2,3;50,81;3,5;77,32;Ausschlussziffern:;GOAE;z 3314;
1689;GOÄ 3315:;3315;z 3315; Abdrücke oder Modellherstellung durch Gips oder andere Werkstoffe für das Bein mit Becken;473;1;27,57;2,3;63,41;3,5;96,49;Ausschlussziffern:;GOAE;z 3315;
1690;GOÄ 3316:;3316;z 3316; Abdrücke oder Modellherstellung durch Gips oder andere Werkstoffe für den Rumpf;757;1;44,12;2,3;101,48;3,5;154,43;Ausschlussziffern:;GOAE;z 3316;
1691;GOÄ 3317:;3317;z 3317; Abdrücke oder Modellherstellung durch Gips oder andere Werkstoffe für Rumpf und Kopf oder Rumpf und Arm oder Rumpf, Kopf und Arm;946;1;55,14;2,3;126,82;3,5;192,99;Ausschlussziffern:;GOAE;z 3317;
1692;GOÄ 3320:;3320;z 3320; Anpassen von Kunstgliedern oder eines großen orthopädischen Hilfsmittels;95;1;5,54;2,3;12,74;3,5;19,38;Ausschlussziffern:;GOAE;z 3320;
1693;GOÄ 3321:;3321;z 3321; Erstellen eines Konstruktionsplanes für ein großes orthopädisches Hilfsmittel (z.B. Kunstglied);152;1;8,86;2,3;20,38;3,5;31,01;Ausschlussziffern:;GOAE;z 3321;
1694;GOÄ 3500:;3500;z 3500; Blut im Stuhl, dreimalige Untersuchung;90;1;5,25;1,15;6,03;1,3;6,82;Ausschlussziffern: GOÄ 27, GOÄ 28;GOAE;z 3500;
1695;GOÄ 3501:;3501;z 3501; Blutkörperchensenkungsgeschwindigkeit (BKS, BSG);60;1;3,5;1,15;4,02;1,3;4,55;Ausschlussziffern:;GOAE;z 3501;
1696;GOÄ 3502:;3502;z 3502; Differenzierung des Blutausstrichs, mikroskopisch;120;1;6,99;1,15;8,04;1,3;9,09;Ausschlussziffern:;GOAE;z 3502;
1697;GOÄ 3503:;3503;z 3503; Hämatokrit;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern:;GOAE;z 3503;
1698;GOÄ 3504-3506:;3504-3506;z 3504-3506; Mikroskopische Einzelbestimmung, je Messgröße;60;1;3,5;1,15;4,02;1,3;4,55;3504;GOAE;z 3504-3506;
1699;GOÄ 3508:;3508;z 3508; Mikroskopische Untersuchung eines Nativpräparats, gegebenenfalls nach einfacher Aufbereitung (z.B. Zentrifugation) im Durchlicht- oder Phasenkontrastverfahren, je Material (z.B. Punktate, Sekrete, Stuhl);80;1;4,66;1,15;5,36;1,3;6,06;Ausschlussziffern:;GOAE;z 3508;
1700;GOÄ 3509:;3509;z 3509; Mikroskopische Untersuchung nach einfacher Färbung (z.B. Methylenblau, Lugol), je Material;100;1;5,83;1,15;6,7;1,3;7,58;Ausschlussziffern:;GOAE;z 3509;
1701;GOÄ 3510:;3510;z 3510; Mikroskopische Untersuchung nach differenzierender Färbung (z.B. Gramfärbung), je Präparat;120;1;6,99;1,15;8,04;1,3;9,09;Ausschlussziffern:;GOAE;z 3510;
1702;GOÄ 3511:;3511;z 3511; Untersuchung eines Körpermaterials mit vorgefertigten Reagenzträgern oder Reagenzzubereitungen und visueller Auswertung (z.B. Glukose, Harnstoff, Urinteststreifen), qualitativ oder semiquantitativ, auch bei Verwendung eines Mehrfachreagenzträgers, je Untersuchung;50;1;2,91;1,15;3,35;1,3;3,79;Ausschlussziffern: GOÄ 27, GOÄ 28;GOAE;z 3511;
1703;GOÄ 3512-3521:;3512-3521;z 3512-3521; Untersuchung folgender Messgrößen unabhängig vom Messverfahren, je Messgröße;70;1;4,08;1,15;4,69;1,3;5,3;3512;GOAE;z 3512-3521;
1704;GOÄ 3523-3526:;3523-3526;z 3523-3526; Untersuchung folgender Messgrößen unabhängig vom Messverfahren, je Messgröße;100;1;5,83;1,15;6,7;1,3;7,58;3523;GOAE;z 3523-3526;
1705;GOÄ 3528:;3528;z 3528; Schwangerschaftstest (Nachweisgrenze des Tests kleiner als 500 U/l);130;1;7,58;1,15;8,71;1,3;9,85;Ausschlussziffern:;GOAE;z 3528;
1706;GOÄ 3529:;3529;z 3529; Schwangerschaftstest (Nachweisgrenze des Tests kleiner als 50 U/l);150;1;8,74;1,15;10,05;1,3;11,37;Ausschlussziffern:;GOAE;z 3529;
1707;GOÄ 3530:;3530;z 3530; Thromboplastinzeit (TPZ, Quickwert);120;1;6,99;1,15;8,04;1,3;9,09;Ausschlussziffern:;GOAE;z 3530;
1708;GOÄ 3531:;3531;z 3531; Urinsediment;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern:;GOAE;z 3531;
1709;GOÄ 3532:;3532;z 3532; Phasenkontrastmikroskopische Untersuchung des Urinsediments – einschließlich morphologischer Beurteilung der Erythrozyten –;90;1;5,25;1,15;6,03;1,3;6,82;Ausschlussziffern:;GOAE;z 3532;
1710;GOÄ 3541.H:;3541.H;z 3541.H; Höchstwert für die mit H1 gekennzeichneten Untersuchungen des Abschnitts M II;480;1;27,98;1,15;32,17;1,3;36,37;Ausschlussziffern:;GOAE;z 3541.H;
1711;GOÄ 3550:;3550;z 3550; Blutbild und Blutbildbestandteile;60;1;3,5;1,15;4,02;1,3;4,55;Ausschlussziffern: GOÄ 23;GOAE;z 3550;
1712;GOÄ 3551:;3551;z 3551; Differenzierung der Leukozyten, elektronischzytometrisch, zytochemisch-zytometrisch oder mittels mechanisierter Mustererkennung (Bildanalyse), zusätzlich zu der Leistung nach Nummer 3550;20;1;1,17;1,15;1,34;1,3;1,52;Ausschlussziffern:;GOAE;z 3551;
1713;GOÄ 3552:;3552;z 3552; Retikulozytenzahl;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern:;GOAE;z 3552;
1714;GOÄ 3555:;3555;z 3555; Calcium;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3555;
1715;GOÄ 3556:;3556;z 3556; Chlorid;30;1;1,75;1,15;2,01;1,3;2,27;Ausschlussziffern:;GOAE;z 3556;
1716;GOÄ 3557:;3557;z 3557; Kalium;30;1;1,75;1,15;2,01;1,3;2,27;Ausschlussziffern: GOÄ 437;GOAE;z 3557;
1717;GOÄ 3558:;3558;z 3558; Natrium;30;1;1,75;1,15;2,01;1,3;2,27;Ausschlussziffern:;GOAE;z 3558;
1718;GOÄ 3560:;3560;z 3560; Glukose;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3560;
1719;GOÄ 3561:;3561;z 3561; Glykierte Hämoglobine (HbA1, HbA1c);200;1;11,66;1,15;13,41;1,3;15,15;Ausschlussziffern:;GOAE;z 3561;
1720;GOÄ 3562.H1:;3562.H1;z 3562.H1; Cholesterin;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3562.H1;
1721;GOÄ 3563.H1:;3563.H1;z 3563.H1; HDL-Cholesterin;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3563.H1;
1722;GOÄ 3564.H1:;3564.H1;z 3564.H1; LDL-Cholesterin;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3564.H1;
1723;GOÄ 3565.H1:;3565.H1;z 3565.H1; Triglyzeride;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3565.H1;
1724;GOÄ 3570.H1:;3570.H1;z 3570.H1; Albumin, photometrisch;30;1;1,75;1,15;2,01;1,3;2,27;Ausschlussziffern:;GOAE;z 3570.H1;
1725;GOÄ 3571:;3571;z 3571; Immunglobulin (IgA, IgG, IgM), Ligandenassay – gegebenenfalls einschließlich Doppelbestimmung und aktueller Bezugskurve -, Immundiffusion oder ähnliche Untersuchungsmethoden, je Immunglobulin;150;1;8,74;1,15;10,05;1,3;11,37;Ausschlussziffern:;GOAE;z 3571;
1726;GOÄ 3572:;3572;z 3572; Immunglobulin E (IgE), Ligandenassay – gegebenenfalls einschließlich Doppelbestimmung und aktueller Bezugskurve -, Immundiffusion oder ähnliche Untersuchungsmethoden;250;1;14,57;1,15;16,76;1,3;18,94;Ausschlussziffern: GOÄ 3892, GOÄ 3893, GOÄ 3894;GOAE;z 3572;
1727;GOÄ 3573.H1:;3573.H1;z 3573.H1; Gesamt-Protein im Serum oder Plasma;30;1;1,75;1,15;2,01;1,3;2,27;Ausschlussziffern:;GOAE;z 3573.H1;
1728;GOÄ 3574:;3574;z 3574; Proteinelektrophorese im Serum;200;1;11,66;1,15;13,41;1,3;15,15;Ausschlussziffern:;GOAE;z 3574;
1729;GOÄ 3575:;3575;z 3575; Transferrin, Immundiffusion oder ähnliche Untersuchungsmethoden;100;1;5,83;1,15;6,7;1,3;7,58;Ausschlussziffern:;GOAE;z 3575;
1730;GOÄ 3580.H1:;3580.H1;z 3580.H1; Anorganisches Phosphat;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3580.H1;
1731;GOÄ 3581.H1:;3581.H1;z 3581.H1; Bilirubin, gesamt;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3581.H1;
1732;GOÄ 3582:;3582;z 3582; Bilirubin, direkt;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern:;GOAE;z 3582;
1733;GOÄ 3583.H1:;3583.H1;z 3583.H1; Harnsäure;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3583.H1;
1734;GOÄ 3584.H1:;3584.H1;z 3584.H1; Harnstoff (Harnstoff-N, BUN);40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3584.H1;
1735;GOÄ 3585.H1:;3585.H1;z 3585.H1; Kreatinin;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3585.H1;
1736;GOÄ 3587.H1:;3587.H1;z 3587.H1; Alkalische Phosphatase;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3587.H1;
1737;GOÄ 3588.H1:;3588.H1;z 3588.H1; Alpha-Amylase (auch immuninhibitorische Bestimmung der Pankreas-Amylase);50;1;2,91;1,15;3,35;1,3;3,79;Ausschlussziffern:;GOAE;z 3588.H1;
1738;GOÄ 3589.H1:;3589.H1;z 3589.H1; Cholinesterase (Pseudocholinesterase, CHE, PCHE);40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3589.H1;
1739;GOÄ 3590.H1:;3590.H1;z 3590.H1; Creatinkinase (CK);40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3590.H1;
1740;GOÄ 3591.H1:;3591.H1;z 3591.H1; Creatinkinase MB (CK-MB), Immuninhibitionsmethode;50;1;2,91;1,15;3,35;1,3;3,79;Ausschlussziffern:;GOAE;z 3591.H1;
1741;GOÄ 3592.H1:;3592.H1;z 3592.H1; Gamma-Glutamyltranspeptidase (GammaGlutamyltransferase, Gamma-GT);40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3592.H1;
1742;GOÄ 3593.H1:;3593.H1;z 3593.H1; Glutamatdehydrogenase (GLDH);50;1;2,91;1,15;3,35;1,3;3,79;Ausschlussziffern:;GOAE;z 3593.H1;
1743;GOÄ 3594.H1:;3594.H1;z 3594.H1; Glutamatoxalazetattransaminase (GOT, Aspartataminotransferase, ASAT, AST);40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3594.H1;
1744;GOÄ 3595.H1:;3595.H1;z 3595.H1; Glutamatpyruvattransaminase (GPT, Alaninaminotransferase, ALAT, ALT);40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3595.H1;
1745;GOÄ 3596.H1:;3596.H1;z 3596.H1; Hydroxybutyratdehydrogenase (HDB);40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3596.H1;
1746;GOÄ 3597.H1:;3597.H1;z 3597.H1; Laktatdehydrogenase (LDH);40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3597.H1;
1747;GOÄ 3598.H1:;3598.H1;z 3598.H1; Lipase;50;1;2,91;1,15;3,35;1,3;3,79;Ausschlussziffern:;GOAE;z 3598.H1;
1748;GOÄ 3599:;3599;z 3599; Saure Phosphatase (sP), photometrisch;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern:;GOAE;z 3599;
1749;GOÄ 3605:;3605;z 3605; Partielle Thromboplastinzeit (PTT, aPTT), Einfachbestimmung;50;1;2,91;1,15;3,35;1,3;3,79;Ausschlussziffern:;GOAE;z 3605;
1750;GOÄ 3606:;3606;z 3606; Plasmathrombinzeit (PTZ, TZ), Doppelbestimmung;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern:;GOAE;z 3606;
1751;GOÄ 3607:;3607;z 3607; Thromboplastinzeit (Prothrombinzeit, TPZ, Quickwert), Einfachbestimmung;50;1;2,91;1,15;3,35;1,3;3,79;Ausschlussziffern:;GOAE;z 3607;
1752;GOÄ 3610:;3610;z 3610; Amylase-Clearance (Zweimalige Bestimmung von Amylase);100;1;5,83;1,15;6,7;1,3;7,58;Ausschlussziffern:;GOAE;z 3610;
1753;GOÄ 3611:;3611;z 3611; Blutzuckertagesprofil (Viermalige Bestimmung von Glukose);160;1;9,33;1,15;10,72;1,3;12,12;Ausschlussziffern:;GOAE;z 3611;
1754;GOÄ 3612:;3612;z 3612; Glukosetoleranztest, intravenös (Siebenmalige Bestimmung von Glukose);280;1;16,32;1,15;18,77;1,3;21,22;Ausschlussziffern:;GOAE;z 3612;
1755;GOÄ 3613:;3613;z 3613; Glukosetoleranztest, oral (Viermalige Bestimmung von Glukose);160;1;9,33;1,15;10,72;1,3;12,12;Ausschlussziffern:;GOAE;z 3613;
1756;GOÄ 3615:;3615;z 3615; Kreatinin-Clearance (Zweimalige Bestimmung von Kreatinin);60;1;3,5;1,15;4,02;1,3;4,55;Ausschlussziffern:;GOAE;z 3615;
1757;GOÄ 3620:;3620;z 3620; Eisen im Serum oder Plasma;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3620;
1758;GOÄ 3621:;3621;z 3621; Magnesium;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3621;
1759;GOÄ 3630.H:;3630.H;z 3630.H; Höchstwert für die mit H2 gekennzeichneten Untersuchungen aus Abschnitt M III 8;870;1;50,71;1,15;58,32;1,3;65,92;Ausschlussziffern:;GOAE;z 3630.H;
1760;GOÄ 3631.H:;3631.H;z 3631.H; Höchstwert für die mit H3 gekennzeichneten Untersuchungen aus Abschnitt M III 10;1400;1;81,6;1,15;93,84;1,3;106,08;Ausschlussziffern:;GOAE;z 3631.H;
1761;GOÄ 3633.H:;3633.H;z 3633.H; Höchstwert für die mit H4 gekennzeichneten Untersuchungen aus Abschnitt M III 14;550;1;32,06;1,15;36,87;1,3;41,68;Ausschlussziffern:;GOAE;z 3633.H;
1762;GOÄ 3650:;3650;z 3650; Blut im Stuhl, dreimalige Untersuchung;60;1;3,5;1,15;4,02;1,3;4,55;Ausschlussziffern: GOÄ 27, GOÄ 28;GOAE;z 3650;
1763;GOÄ 3651:;3651;z 3651; Phasenkontrastmikroskopische Untersuchung des Urinsediments – einschließlich morphologischer Beurteilung der Erythrozyten –;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern: GOÄ 3653;GOAE;z 3651;
1764;GOÄ 3652:;3652;z 3652; Streifentest im Urin, auch bei Verwendung eines Mehrfachreagenzträgers, je Untersuchung;35;1;2,04;1,15;2,35;1,3;2,65;Ausschlussziffern: GOÄ 27, GOÄ 28;GOAE;z 3652;
1765;GOÄ 3653:;3653;z 3653; Urinsediment, mikroskopisch;50;1;2,91;1,15;3,35;1,3;3,79;Ausschlussziffern: GOÄ 3651;GOAE;z 3653;
1766;GOÄ 3654:;3654;z 3654; Zellzählung im Urin (Addis-Count), mikroskopisch;80;1;4,66;1,15;5,36;1,3;6,06;Ausschlussziffern:;GOAE;z 3654;
1767;GOÄ 3660:;3660;z 3660; Sekret (Magen, Duodenum, Cervix uteri), mikroskopische Beurteilung;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3660;
1768;GOÄ 3661:;3661;z 3661; Gallensediment, mikroskopisch;40;1;2,33;1,15;2,68;1,3;3,03;Ausschlussziffern:;GOAE;z 3661;
1769;GOÄ 3662:;3662;z 3662; HCl, titrimetrisch;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern:;GOAE;z 3662;
1770;GOÄ 3663:;3663;z 3663; Morphologische Differenzierung des Spermas, mikroskopisch;160;1;9,33;1,15;10,72;1,3;12,12;Ausschlussziffern: GOÄ 3668;GOAE;z 3663;
1771;GOÄ 3664:;3664;z 3664; Spermienagglutination, mikroskopisch;120;1;6,99;1,15;8,04;1,3;9,09;Ausschlussziffern: GOÄ 3668;GOAE;z 3664;
1772;GOÄ 3665:;3665;z 3665; Spermien-Mucus-Penetrationstest, je Ansatz;150;1;8,74;1,15;10,05;1,3;11,37;Ausschlussziffern:;GOAE;z 3665;
1773;GOÄ 3667:;3667;z 3667; Spermienzahl und Motilitätsbeurteilung, mikroskopisch;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern: GOÄ 3668;GOAE;z 3667;
1774;GOÄ 3668:;3668;z 3668; Physikalisch-morphologische Untersuchung des Spermas (Menge, Viskosität, pH-Wert, Nativpräparat(e), Differenzierung der Beweglichkeit, Bestimmung der Spermienzahl, Vitalitätsprüfung, morphologische Differenzierung nach Ausstrichfärbung);400;1;23,31;1,15;26,81;1,3;30,31;Ausschlussziffern: GOÄ 3508, GOÄ 3660, GOÄ 3663, GOÄ 3664, GOÄ 3667, GOÄ 3712, GOÄ 3714;GOAE;z 3668;
1775;GOÄ 3669:;3669;z 3669; Erythrozytenzahl (Liquor), mikroskopisch;60;1;3,5;1,15;4,02;1,3;4,55;Ausschlussziffern:;GOAE;z 3669;
1776;GOÄ 3670:;3670;z 3670; Leukozytenzahl (Liquor), mikroskopisch;60;1;3,5;1,15;4,02;1,3;4,55;Ausschlussziffern:;GOAE;z 3670;
1777;GOÄ 3671:;3671;z 3671; Morphologische Differenzierung des Liquorzellausstrichs, mikroskopisch;160;1;9,33;1,15;10,72;1,3;12,12;Ausschlussziffern:;GOAE;z 3671;
1778;GOÄ 3672:;3672;z 3672; Steinanalyse (Gallensteine, Harnsteine), mittels Infrarotspektrometrie oder mikroskopisch einschließlich chemischer Reaktionen –;250;1;14,57;1,15;16,76;1,3;18,94;Ausschlussziffern:;GOAE;z 3672;
1779;GOÄ 3673:;3673;z 3673; Steinanalyse (Gallensteine, Harnsteine), Röntgendiffraktion;570;1;33,22;1,15;38,21;1,3;43,19;Ausschlussziffern:;GOAE;z 3673;
1780;GOÄ 3680:;3680;z 3680; Differenzierung des Blutausstrichs, mikroskopisch;90;1;5,25;1,15;6,03;1,3;6,82;Ausschlussziffern:;GOAE;z 3680;
1781;GOÄ 3681:;3681;z 3681; Morphologische Differenzierung des Knochenmarkausstrichs, mikroskopisch;570;1;33,22;1,15;38,21;1,3;43,19;Ausschlussziffern:;GOAE;z 3681;
1782;GOÄ 3682:;3682;z 3682; Eisenfärbung eines Blut- oder Knochenmarkausstrichs;120;1;6,99;1,15;8,04;1,3;9,09;Ausschlussziffern:;GOAE;z 3682;
1783;GOÄ 3683:;3683;z 3683; Färbung eines Blut- oder Knochenmarkausstrichs (z.B. Nachweis der alkalischen Leukozytenphosphatase, Leukozytenesterase, Leukozytenperoxidase oder PAS), je Färbung;250;1;14,57;1,15;16,76;1,3;18,94;Ausschlussziffern:;GOAE;z 3683;
1784;GOÄ 3686:;3686;z 3686; Eosinophile, segmentkernige Granulozyten (absolute Eosinophilenzahl), mikroskopisch;70;1;4,08;1,15;4,69;1,3;5,3;Ausschlussziffern:;GOAE;z 3686;
1785;GOÄ 3688:;3688;z 3688; Osmotische Resistenz der Erythrozyten;90;1;5,25;1,15;6,03;1,3;6,82;Ausschlussziffern:;GOAE;z 3688;
1786;GOÄ 3689:;3689;z 3689; Fetales Hämoglobin (HbF), mikroskopisch;160;1;9,33;1,15;10,72;1,3;12,12;Ausschlussziffern:;GOAE;z 3689;
1787;GOÄ 3690:;3690;z 3690; Freies Hämoglobin, spektralphotometrisch;180;1;10,49;1,15;12,07;1,3;13,64;Ausschlussziffern:;GOAE;z 3690;
1788;GOÄ 3691:;3691;z 3691; Hämoglobinelektrophorese;570;1;33,22;1,15;38,21;1,3;43,19;Ausschlussziffern:;GOAE;z 3691;
1789;GOÄ 3692:;3692;z 3692; Methämoglobin und/oder Carboxyhämoglobin und/ oder Sauerstoffsättigung, cooxymetrisch;60;1;3,5;1,15;4,02;1,3;4,55;Ausschlussziffern: GOÄ 626, GOÄ 627, GOÄ 628, GOÄ 629, GOÄ 632;GOAE;z 3692;
1790;GOÄ 3693:;3693;z 3693; Granulozytenfunktionstest (Adhäsivität, Chemotaxis (bis zu drei Stimulatoren), Sauerstoffaufnahme (bis zu drei Stimulatoren), Lumineszenz (O2 -Radikale), Degranulierung), je Funktionstest;570;1;33,22;1,15;38,21;1,3;43,19;Ausschlussziffern:;GOAE;z 3693;
1791;GOÄ 3694:;3694;z 3694; Lymphozytentransformationstest;570;1;33,22;1,15;38,21;1,3;43,19;Ausschlussziffern:;GOAE;z 3694;
1792;GOÄ 3695:;3695;z 3695; Phagozytäre Funktion neutrophiler Granulozyten (Nitrotetrazolblautest, NBT-Test);120;1;6,99;1,15;8,04;1,3;9,09;Ausschlussziffern:;GOAE;z 3695;
